r	x	y	id
1.141278601	0.807005838	-0.807005838	b
1.234528394	1.234528394	-1.20998E-15	b
1.335397294	0.944268482	0.944268482	b
1.444507832	-1.06169E-15	1.444507832	b
1.562533401	-1.104877964	1.104877964	b
1.690202417	-1.690202417	1.86367E-15	b
1.828302812	-1.292805317	-1.292805317	b
1.977686897	1.21127E-15	-1.977686897	b
2.139276621	1.512697005	-1.512697005	b
2.314069263	2.314069263	-2.83508E-15	b
2.503143587	1.769989805	1.769989805	b
2.707666498	-1.32662E-15	2.707666498	b
2.928900245	-2.071045225	2.071045225	b
3.16821021	-3.16821021	-6.98606E-15	b
3.427073337	-2.423306796	-2.423306796	b
3.707087243	-1.18081E-14	-3.707087243	b
4.009980085	2.835484111	-2.835484111	b
4.337621218	4.337621218	-6.37708E-15	b
4.692032736	3.317768165	3.317768165	b
5.075401951	-1.24307E-15	5.075401951	b
5.490094894	-3.882083329	3.882083329	b
5.938670915	-5.938670915	-1.16399E-14	b
6.423898478	-4.542382176	-4.542382176	b
6.94877225	-2.38364E-14	-6.94877225	b
7.516531581	5.314990452	-5.314990452	b
8.130680497	8.130680497	-1.39458E-14	b
8.795009324	6.219010734	6.219010734	b
9.513618084	1.03147E-18	9.513618084	b
10.2909418	-7.276794729	7.276794729	b
11.13177785	-11.13177785	-1.90909E-14	b
12.04131561	-8.514495921	-8.514495921	b
13.02516845	-4.78719E-14	-13.02516845	b
14.08940838	9.962716209	-9.962716209	b
15.24060355	15.24060355	-2.98752E-14	b
16.48585877	11.65726253	11.65726253	b
17.83285933	4.37151E-15	17.83285933	b
19.2899185	-13.64003218	13.64003218	b
20.86602875	-20.86602875	-3.06723E-14	b
22.57091735	-15.96004871	-15.96004871	b
24.41510629	-9.57162E-14	-24.41510629	b
26.40997731	18.67467405	-18.67467405	b
28.56784211	28.56784211	-6.29997E-14	b
30.90201833	21.85102671	21.85102671	b
33.42691174	1.63848E-14	33.42691174	b
36.15810516	-25.56764135	25.56764135	b
39.11245462	-39.11245462	-4.79101E-14	b
42.30819342	-29.91641047	-29.91641047	b
45.76504461	-1.9063E-13	-45.76504461	b
49.50434274	35.00485645	-35.00485645	b
53.54916555	53.54916555	-1.31211E-13	b
57.92447637	40.95879004	40.95879004	b
62.65727819	4.91272E-13	62.65727819	b
67.77678032	-47.92542097	47.92542097	b
73.31457867	-73.31457867	-7.18411E-14	b
79.30485071	-56.07699772	-56.07699772	b
85.78456646	-3.78346E-13	-85.78456646	b
92.79371661	65.61506627	-65.61506627	b
100.3755594	100.3755594	4.42666E-13	b
108.5768874	76.77545333	76.77545333	b
117.4483165	1.15126E-13	117.4483165	b
127.0445985	-89.8340971	89.8340971	b
137.4249583	-137.4249583	8.75473E-13	b
148.6534602	-105.1138697	-105.1138697	b
160.7994028	3.93954E-13	-160.7994028	b
173.937747	122.9925604	-122.9925604	b
